,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
10,0.1166016875036672,0.024716103316401034,0.04502933867889019,0.024087611101642467,0.023726371340264306,0.04116009808332919,0.035183981475664754,0.02110066772159319,0.04232213258325925,0.04645410446727614,0.0359753913076036,0.05741323292942609,0.027378178090615296
11,3.183121333877068e-308,8.463024812494566e-309,2.133733126173223e-308,1.0940401577429207e-308,9.15556690751897e-309,1.8468713479296583e-308,1.5174143182827385e-308,7.548669697575163e-309,2.531723066817043e-308,1.9783937877245896e-308,1.2885303872001994e-308,1.0,1.0200134916707035e-308
12,0.021098342317690415,0.07011740778116227,0.03509059724294196,0.04826399723317215,0.07042988682940574,0.039904840453383564,0.03154723183492278,0.056653180252530584,0.037197088332926356,0.027076526193891004,0.02890051817929166,0.023747891885283316,0.08441802188010339
13,0.012534563008244072,0.3235961705832079,0.017573068911015077,0.0274449548829942,0.0588059259911885,0.01825119742910993,0.017641780830215698,0.0642760580790636,0.01793121676723564,0.015204665662537777,0.016378356481013195,0.013813034825367254,0.06009799970613075
14,0.021188490548987162,0.05998649023583256,0.03288498044112901,0.04244105675131709,0.055700553667159314,0.04315491222616423,0.033933106980408606,0.04790003638324181,0.03751855193953656,0.028755654375033683,0.0324966636588266,0.023573145356671328,0.06130156467277471
15,0.11626274321949505,0.024688250520765936,0.044983371011680866,0.024062224530316485,0.023700046107626025,0.041112440379174456,0.035136579314771876,0.021080845898253663,0.04226512347981463,0.04639027387432014,0.03592973529297658,0.057260862085200134,0.02734758292830654
16,1.798538063728874e-308,1.0625330937273336e-308,1.0,1.396441149096308e-308,1.2303225142022487e-308,1.885628002626858e-308,1.256533142871054e-308,9.82722270748679e-309,2.6070579929200155e-308,1.382473901876319e-308,1.094840437804992e-308,2.0156400184380384e-308,1.527448793625885e-308
17,1.753136890472687e-308,1.0481401599643913e-308,1.0,1.431676143419036e-308,1.2327991477521603e-308,1.822423768633321e-308,1.2253630364825975e-308,9.751620531783836e-309,2.644548346350457e-308,1.339833269708244e-308,1.069230294368165e-308,2.0636268943053467e-308,1.5167177916754277e-308
18,0.010856377259265956,0.06465248759824778,0.01713865482750113,0.038227989350968876,0.1332676956562637,0.017840991160962216,0.016566021933264587,0.05427576086017814,0.01845216629863209,0.013948142613949081,0.014616693049172874,0.012784335840897628,0.0712504281031269
19,0.01421073102656039,0.03225216984682641,0.024509973679035475,0.3383716066836366,0.09935319564037622,0.023271447076459683,0.01912653010091751,0.04230740829728778,0.02707646059477122,0.01672736023857831,0.016979534377705628,0.017543259947358555,0.044959342443447715
